Category,Terms,Definitions,References,Deprecated,Cross-category
General,Public-sector use,"The use or procurement of AI / ADS in federal, state or local government agencies or entities",,,
General,Private-sector use,"The use or procurement of AI / ADS in private businesses, corporations or nongovernment agencies",,,
"General, Labor Force",Domain,"The context that the bill applies to, such as heathcare, employment, entertainment, insurance, finance, housing, etc.",,,Yes
Accountability & Transparency,Impact/Risk Assessment (IA/RA),A process assessing the potential impacts/risks of an action or a system’s relative benefits and costs before implementation,https://bipartisanpolicy.org/blog/impact-assessments-for-ai/,,
Accountability & Transparency,Covered Companies,Companies that are subject to the law,,,
Accountability & Transparency,Stakeholders,Those with an interest in or affected by the bill and its outcomes,,,
Accountability & Transparency,Civil Recourse,The legal means through which individuals can seek redress for harms caused against them,,,
Accountability & Transparency,Algorithmic Inaccuracy,Errors/bias in the functioning of algorithms,,,
"Accountability & Transparency, Data Protection",Pre-Deployment,The testing phase before an AI system’s launch,,,Yes
"Accountability & Transparency, Data Protection",Post-Deployment,Ongoing monitoring after an AI system is launched,,,Yes
Accountability & Transparency,Lifecycle,The iterative process of moving from a business problem to an AI solution that solves that problem,https://coe.gsa.gov/coe/ai-guide-for-government/understanding-managing-ai-lifecycle/,,
Accountability & Transparency,Privacy Harms,"Diverse effects on individuals resulting from the processing or misuse of personal data, such as embarrassment, discrimination, identity theft, financial loss, or loss of autonomy and trust","Paper: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4195066

""For example, the development and use of AI systems can cause privacy harms. Some privacy harms, such as identity theft, can be readily observed and measured. Others, such as harms to dignity or autonomy, or for the more concretely minded, exposure to future risks of unauthorized disclosure or identity theft, cannot.""",,
Accountability & Transparency,Data Subject,An individual whose personal data is processed,,,
Accountability & Transparency,Operational Context,The environment or circumstances in which an AI system operates,,,
Accountability & Transparency,Assess/Benchmark/Monitor,"These terms refer to evaluating, comparing against standards, and observing for changes, respectively, and could need clearer explanation in a technical/legal context",,,
Accountability & Transparency,Decommissioning,The process of shutting down or discontinuing a system,,,
Accountability & Transparency,Transparency Report,Regular public reports on platform usage and governance pratices like takedown requests and policy enforcement.,"Page 1, https://doi.org/10.48550/arXiv.2402.16268",,
